Cement (component 1)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540.0 ,162.0 ,676.0 ,1040.0 ,0.0 ,0.0 ,2.5 ,28 ,79.99 
540.0 ,162.0 ,676.0 ,1055.0 ,0.0 ,0.0 ,2.5 ,28 ,61.89 
332.5 ,228.0 ,594.0 ,932.0 ,0.0 ,142.5 ,0.0 ,270 ,40.27 
332.5 ,228.0 ,594.0 ,932.0 ,0.0 ,142.5 ,0.0 ,365 ,41.05 
198.6 ,192.0 ,825.5 ,978.4 ,0.0 ,132.4 ,0.0 ,360 ,44.30 
266.0 ,228.0 ,670.0 ,932.0 ,0.0 ,114.0 ,0.0 ,90 ,47.03 
380.0 ,228.0 ,594.0 ,932.0 ,0.0 ,95.0 ,0.0 ,365 ,43.70 
380.0 ,228.0 ,594.0 ,932.0 ,0.0 ,95.0 ,0.0 ,28 ,36.45 
266.0 ,228.0 ,670.0 ,932.0 ,0.0 ,114.0 ,0.0 ,28 ,45.85 
475.0 ,228.0 ,594.0 ,932.0 ,0.0 ,0.0 ,0.0 ,28 ,39.29 
198.6 ,192.0 ,825.5 ,978.4 ,0.0 ,132.4 ,0.0 ,90 ,38.07 
198.6 ,192.0 ,825.5 ,978.4 ,0.0 ,132.4 ,0.0 ,28 ,28.02 
427.5 ,228.0 ,594.0 ,932.0 ,0.0 ,47.5 ,0.0 ,270 ,43.01 
190.0 ,228.0 ,670.0 ,932.0 ,0.0 ,190.0 ,0.0 ,90 ,42.33 
304.0 ,228.0 ,670.0 ,932.0 ,0.0 ,76.0 ,0.0 ,28 ,47.81 
380.0 ,228.0 ,670.0 ,932.0 ,0.0 ,0.0 ,0.0 ,90 ,52.91 
139.6 ,192.0 ,806.9 ,1047.0 ,0.0 ,209.4 ,0.0 ,90 ,39.36 
342.0 ,228.0 ,670.0 ,932.0 ,0.0 ,38.0 ,0.0 ,365 ,56.14 
380.0 ,228.0 ,594.0 ,932.0 ,0.0 ,95.0 ,0.0 ,90 ,40.56 
475.0 ,228.0 ,594.0 ,932.0 ,0.0 ,0.0 ,0.0 ,180 ,42.62 
427.5 ,228.0 ,594.0 ,932.0 ,0.0 ,47.5 ,0.0 ,180 ,41.84 
139.6 ,192.0 ,806.9 ,1047.0 ,0.0 ,209.4 ,0.0 ,28 ,28.24 
139.6 ,192.0 ,806.9 ,1047.0 ,0.0 ,209.4 ,0.0 ,3 ,8.06 
139.6 ,192.0 ,806.9 ,1047.0 ,0.0 ,209.4 ,0.0 ,180 ,44.21 
380.0 ,228.0 ,670.0 ,932.0 ,0.0 ,0.0 ,0.0 ,365 ,52.52 
380.0 ,228.0 ,670.0 ,932.0 ,0.0 ,0.0 ,0.0 ,270 ,53.30 
380.0 ,228.0 ,594.0 ,932.0 ,0.0 ,95.0 ,0.0 ,270 ,41.15 
342.0 ,228.0 ,670.0 ,932.0 ,0.0 ,38.0 ,0.0 ,180 ,52.12 
427.5 ,228.0 ,594.0 ,932.0 ,0.0 ,47.5 ,0.0 ,28 ,37.43 
475.0 ,228.0 ,594.0 ,932.0 ,0.0 ,0.0 ,0.0 ,7 ,38.60 
304.0 ,228.0 ,670.0 ,932.0 ,0.0 ,76.0 ,0.0 ,365 ,55.26 
266.0 ,228.0 ,670.0 ,932.0 ,0.0 ,114.0 ,0.0 ,365 ,52.91 
